2026-08-16T00:15:07+00:00 | unclear | long=0.640621 short=0.358932 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-08-16 00:00:00 close=0.004512
2026-08-16T00:30:08+00:00 | unclear | long=0.548649 short=0.450921 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-08-16 00:15:00 close=0.004525
2026-08-16T00:45:16+00:00 | unclear | long=0.413019 short=0.586586 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-08-16 00:30:00 close=0.004519
2026-08-16T01:00:10+00:00 | unclear | long=0.240018 short=0.759674 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-08-16 00:45:00 close=0.004524
2026-08-16T01:15:06+00:00 | unclear | long=0.363977 short=0.635650 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-08-16 01:00:00 close=0.004510
2026-08-16T01:30:06+00:00 | unclear | long=0.313156 short=0.686497 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-08-16 01:15:00 close=0.004506
2026-08-16T01:45:06+00:00 | unclear | long=0.353776 short=0.645862 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-08-16 01:30:00 close=0.004507
2026-08-16T02:00:09+00:00 | unclear | long=0.241822 short=0.757865 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-08-16 01:45:00 close=0.004501
2026-08-16T02:15:07+00:00 | unclear | long=0.295502 short=0.704161 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-08-16 02:00:00 close=0.004489
2026-08-16T02:30:07+00:00 | unclear | long=0.256186 short=0.743495 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-08-16 02:15:00 close=0.004511
2026-08-16T02:45:07+00:00 | unclear | long=0.237340 short=0.762348 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-08-16 02:30:00 close=0.004509
2026-08-16T03:00:14+00:00 | unclear | long=0.330459 short=0.669180 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-08-16 02:45:00 close=0.004506
2026-08-16T03:15:08+00:00 | unclear | long=0.269077 short=0.730593 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-08-16 03:00:00 close=0.004509
2026-08-16T03:30:07+00:00 | unclear | long=0.196091 short=0.803627 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-08-16 03:15:00 close=0.004509
2026-08-16T03:45:08+00:00 | unclear | long=0.157995 short=0.841746 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-08-16 03:30:00 close=0.004508
