2025-12-25T00:15:09+00:00 | unclear | long=0.810975 short=0.188554 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2025-12-25 00:00:00 close=0.007223
2025-12-25T00:30:08+00:00 | unclear | long=0.751729 short=0.247797 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2025-12-25 00:15:00 close=0.007196
2025-12-25T00:45:05+00:00 | unclear | long=0.854781 short=0.144743 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2025-12-25 00:30:00 close=0.007182
2025-12-25T01:00:09+00:00 | unclear | long=0.850788 short=0.148739 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2025-12-25 00:45:00 close=0.007183
2025-12-25T01:15:08+00:00 | unclear | long=0.475617 short=0.523972 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2025-12-25 01:00:00 close=0.007193
2025-12-25T01:30:07+00:00 | unclear | long=0.420615 short=0.578992 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2025-12-25 01:15:00 close=0.007184
2025-12-25T01:45:09+00:00 | unclear | long=0.204426 short=0.795284 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2025-12-25 01:30:00 close=0.007202
2025-12-25T02:00:08+00:00 | unclear | long=0.184907 short=0.814816 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2025-12-25 01:45:00 close=0.007203
2025-12-25T02:15:07+00:00 | unclear | long=0.115723 short=0.884048 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2025-12-25 02:00:00 close=0.007219
2025-12-25T02:30:09+00:00 | unclear | long=0.208379 short=0.791327 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2025-12-25 02:15:00 close=0.007222
2025-12-25T02:45:06+00:00 | unclear | long=0.148814 short=0.850930 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2025-12-25 02:30:00 close=0.007245
2025-12-25T03:00:08+00:00 | unclear | long=0.176674 short=0.823052 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2025-12-25 02:45:00 close=0.007238
2025-12-25T03:15:05+00:00 | short   | long=0.094650 short=0.905139 | tp=0.006422 sl=0.007537 | 1000SHIBUSDT m15 | bar=2025-12-25 03:00:00 close=0.007241
2025-12-25T03:30:08+00:00 | unclear | long=0.106007 short=0.893774 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2025-12-25 03:15:00 close=0.007257
