2026-02-16T00:15:09+00:00 | unclear | long=0.148866 short=0.850880 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-02-16 00:00:00 close=0.006579
2026-02-16T00:30:08+00:00 | unclear | long=0.298639 short=0.701013 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-02-16 00:15:00 close=0.006556
2026-02-16T00:45:08+00:00 | unclear | long=0.255499 short=0.744179 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-02-16 00:30:00 close=0.006564
2026-02-16T01:00:07+00:00 | unclear | long=0.141948 short=0.857804 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-02-16 00:45:00 close=0.006585
2026-02-16T01:15:08+00:00 | unclear | long=0.167825 short=0.831910 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-02-16 01:00:00 close=0.006602
2026-02-16T01:30:09+00:00 | unclear | long=0.639729 short=0.359820 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-02-16 01:15:00 close=0.006590
2026-02-16T01:45:10+00:00 | unclear | long=0.650349 short=0.349205 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-02-16 01:30:00 close=0.006553
2026-02-16T02:00:09+00:00 | unclear | long=0.719172 short=0.280377 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-02-16 01:45:00 close=0.006574
2026-02-16T02:15:08+00:00 | unclear | long=0.569000 short=0.430573 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-02-16 02:00:00 close=0.006607
2026-02-16T02:30:07+00:00 | unclear | long=0.571389 short=0.428176 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-02-16 02:15:00 close=0.006578
2026-02-16T02:45:06+00:00 | unclear | long=0.362461 short=0.637165 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-02-16 02:30:00 close=0.006582
2026-02-16T03:00:09+00:00 | unclear | long=0.204976 short=0.794739 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-02-16 02:45:00 close=0.006561
2026-02-16T03:15:06+00:00 | unclear | long=0.184305 short=0.815427 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-02-16 03:00:00 close=0.006563
2026-02-16T03:30:09+00:00 | unclear | long=0.268411 short=0.731271 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-02-16 03:15:00 close=0.006559
2026-02-16T03:45:08+00:00 | unclear | long=0.241336 short=0.758357 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-02-16 03:30:00 close=0.006584
2026-02-16T04:00:07+00:00 | unclear | long=0.170306 short=0.829433 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-02-16 03:45:00 close=0.006581
2026-02-16T04:15:08+00:00 | unclear | long=0.123357 short=0.876416 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-02-16 04:00:00 close=0.006599
2026-02-16T04:30:09+00:00 | unclear | long=0.120461 short=0.879315 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-02-16 04:15:00 close=0.006607
2026-02-16T04:45:10+00:00 | unclear | long=0.217028 short=0.782676 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-02-16 04:30:00 close=0.006597
2026-02-16T05:00:09+00:00 | unclear | long=0.294728 short=0.704935 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-02-16 04:45:00 close=0.006668
