2026-02-17T00:15:10+00:00 | unclear | long=0.186230 short=0.813504 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-02-17 00:00:00 close=0.006560
2026-02-17T00:30:08+00:00 | short   | long=0.082883 short=0.916926 | tp=0.005823 sl=0.006833 | 1000SHIBUSDT m15 | bar=2026-02-17 00:15:00 close=0.006565
2026-02-17T00:45:09+00:00 | unclear | long=0.320861 short=0.678777 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-02-17 00:30:00 close=0.006553
2026-02-17T01:00:10+00:00 | unclear | long=0.255558 short=0.744130 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-02-17 00:45:00 close=0.006538
2026-02-17T01:15:08+00:00 | unclear | long=0.237668 short=0.762034 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-02-17 01:00:00 close=0.006539
2026-02-17T01:30:07+00:00 | unclear | long=0.105890 short=0.893899 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-02-17 01:15:00 close=0.006543
2026-02-17T01:45:11+00:00 | short   | long=0.073511 short=0.926304 | tp=0.005811 sl=0.006819 | 1000SHIBUSDT m15 | bar=2026-02-17 01:30:00 close=0.006552
2026-02-17T02:00:04+00:00 | unclear | long=0.132061 short=0.867702 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-02-17 01:45:00 close=0.006537
2026-02-17T02:15:05+00:00 | unclear | long=0.201367 short=0.798348 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-02-17 02:00:00 close=0.006569
2026-02-17T02:30:11+00:00 | unclear | long=0.490099 short=0.509487 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-02-17 02:15:00 close=0.006571
2026-02-17T02:45:08+00:00 | unclear | long=0.735696 short=0.263847 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-02-17 02:30:00 close=0.006581
2026-02-17T03:00:10+00:00 | unclear | long=0.885622 short=0.113908 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-02-17 02:45:00 close=0.006574
2026-02-17T03:15:05+00:00 | long    | long=0.900845 short=0.098681 | tp=0.007381 sl=0.006289 | 1000SHIBUSDT m15 | bar=2026-02-17 03:00:00 close=0.006546
2026-02-17T03:30:03+00:00 | long    | long=0.932365 short=0.067159 | tp=0.007401 sl=0.006307 | 1000SHIBUSDT m15 | bar=2026-02-17 03:15:00 close=0.006564
2026-02-17T03:45:07+00:00 | unclear | long=0.886039 short=0.113486 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-02-17 03:30:00 close=0.006548
