2026-02-07T00:15:06+00:00 | unclear | long=0.480892 short=0.518700 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-02-07 00:00:00 close=0.006291
2026-02-07T00:30:05+00:00 | unclear | long=0.856130 short=0.143405 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-02-07 00:15:00 close=0.006260
2026-02-07T00:45:07+00:00 | long    | long=0.946821 short=0.052713 | tp=0.007042 sl=0.006001 | 1000SHIBUSDT m15 | bar=2026-02-07 00:30:00 close=0.006246
2026-02-07T01:00:07+00:00 | long    | long=0.945443 short=0.054089 | tp=0.007066 sl=0.006021 | 1000SHIBUSDT m15 | bar=2026-02-07 00:45:00 close=0.006267
2026-02-07T01:15:07+00:00 | long    | long=0.904128 short=0.095408 | tp=0.007011 sl=0.005974 | 1000SHIBUSDT m15 | bar=2026-02-07 01:00:00 close=0.006218
2026-02-07T01:30:07+00:00 | unclear | long=0.639851 short=0.359693 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-02-07 01:15:00 close=0.006232
2026-02-07T01:45:07+00:00 | unclear | long=0.623828 short=0.375715 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-02-07 01:30:00 close=0.006239
2026-02-07T02:00:08+00:00 | unclear | long=0.786619 short=0.212909 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-02-07 01:45:00 close=0.006270
2026-02-07T02:15:07+00:00 | unclear | long=0.716170 short=0.283367 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-02-07 02:00:00 close=0.006267
2026-02-07T02:30:10+00:00 | unclear | long=0.498045 short=0.501535 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-02-07 02:15:00 close=0.006277
