2026-06-19T00:15:05+00:00 | unclear | long=0.822048 short=0.177497 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-06-19 00:00:00 close=0.004759
2026-06-19T00:30:05+00:00 | unclear | long=0.866335 short=0.133208 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-06-19 00:15:00 close=0.004762
2026-06-19T00:45:06+00:00 | unclear | long=0.845926 short=0.153613 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-06-19 00:30:00 close=0.004766
2026-06-19T01:00:09+00:00 | unclear | long=0.726418 short=0.273119 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-06-19 00:45:00 close=0.004771
2026-06-19T01:15:06+00:00 | unclear | long=0.705765 short=0.293781 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-06-19 01:00:00 close=0.004770
2026-06-19T01:30:07+00:00 | unclear | long=0.685844 short=0.313702 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-06-19 01:15:00 close=0.004774
2026-06-19T01:45:08+00:00 | unclear | long=0.776669 short=0.222864 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-06-19 01:30:00 close=0.004778
2026-06-19T02:00:10+00:00 | unclear | long=0.768149 short=0.231379 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-06-19 01:45:00 close=0.004792
2026-06-19T02:15:06+00:00 | unclear | long=0.736350 short=0.263191 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-06-19 02:00:00 close=0.004785
2026-06-19T02:30:07+00:00 | unclear | long=0.790622 short=0.208910 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-06-19 02:15:00 close=0.004779
