2026-06-21T00:15:06+00:00 | unclear | long=0.241467 short=0.758224 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-06-21 00:00:00 close=0.004742
2026-06-21T00:30:11+00:00 | unclear | long=0.287750 short=0.711912 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-06-21 00:15:00 close=0.004738
2026-06-21T00:45:13+00:00 | unclear | long=0.251567 short=0.748117 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-06-21 00:30:00 close=0.004736
2026-06-21T01:00:10+00:00 | unclear | long=0.266953 short=0.732724 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-06-21 00:45:00 close=0.004732
2026-06-21T01:15:09+00:00 | unclear | long=0.237902 short=0.761792 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-06-21 01:00:00 close=0.004730
2026-06-21T01:30:05+00:00 | unclear | long=0.166688 short=0.833051 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-06-21 01:15:00 close=0.004733
2026-06-21T01:46:10+00:00 | short   | long=0.071119 short=0.928700 | tp=0.004195 sl=0.004923 | 1000SHIBUSDT m15 | bar=2026-06-21 01:30:00 close=0.004730
2026-06-21T02:00:11+00:00 | short   | long=0.085345 short=0.914460 | tp=0.004192 sl=0.004919 | 1000SHIBUSDT m15 | bar=2026-06-21 01:45:00 close=0.004726
2026-06-21T02:15:09+00:00 | short   | long=0.092653 short=0.907148 | tp=0.004194 sl=0.004922 | 1000SHIBUSDT m15 | bar=2026-06-21 02:00:00 close=0.004729
2026-06-21T02:30:08+00:00 | unclear | long=0.152904 short=0.846843 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-06-21 02:15:00 close=0.004724
2026-06-21T02:45:12+00:00 | unclear | long=0.170251 short=0.829481 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-06-21 02:30:00 close=0.004721
2026-06-21T03:00:07+00:00 | unclear | long=0.221891 short=0.777805 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-06-21 02:45:00 close=0.004723
2026-06-21T03:15:08+00:00 | unclear | long=0.206483 short=0.793220 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-06-21 03:00:00 close=0.004729
2026-06-21T03:30:05+00:00 | unclear | long=0.128064 short=0.871700 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-06-21 03:15:00 close=0.004722
2026-06-21T03:45:04+00:00 | unclear | long=0.132132 short=0.867627 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-06-21 03:30:00 close=0.004724
2026-06-21T04:00:07+00:00 | unclear | long=0.131369 short=0.868391 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-06-21 03:45:00 close=0.004723
2026-06-21T04:15:10+00:00 | short   | long=0.089379 short=0.910416 | tp=0.004184 sl=0.004911 | 1000SHIBUSDT m15 | bar=2026-06-21 04:00:00 close=0.004718
2026-06-21T04:31:11+00:00 | unclear | long=0.105366 short=0.894415 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-06-21 04:15:00 close=0.004722
2026-06-21T04:45:05+00:00 | unclear | long=0.110574 short=0.889201 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-06-21 04:30:00 close=0.004724
2026-06-21T05:00:07+00:00 | short   | long=0.069772 short=0.930041 | tp=0.004177 sl=0.004902 | 1000SHIBUSDT m15 | bar=2026-06-21 04:45:00 close=0.004710
