2026-07-23T00:15:06+00:00 | unclear | long=0.462128 short=0.537466 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-23 00:00:00 close=0.004252
2026-07-23T00:30:15+00:00 | unclear | long=0.613384 short=0.386169 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-23 00:15:00 close=0.004260
2026-07-23T00:46:11+00:00 | unclear | long=0.642616 short=0.356933 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-23 00:30:00 close=0.004262
2026-07-23T01:00:06+00:00 | unclear | long=0.604968 short=0.394586 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-23 00:45:00 close=0.004254
2026-07-23T01:15:07+00:00 | unclear | long=0.381045 short=0.618578 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-23 01:00:00 close=0.004253
2026-07-23T01:30:06+00:00 | unclear | long=0.327078 short=0.672567 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-23 01:15:00 close=0.004251
2026-07-23T01:45:08+00:00 | unclear | long=0.351933 short=0.647702 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-23 01:30:00 close=0.004250
2026-07-23T02:00:06+00:00 | unclear | long=0.264830 short=0.734852 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-23 01:45:00 close=0.004254
2026-07-23T02:15:04+00:00 | unclear | long=0.247010 short=0.752681 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-23 02:00:00 close=0.004248
2026-07-23T02:30:13+00:00 | unclear | long=0.664126 short=0.335409 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-23 02:15:00 close=0.004253
2026-07-23T02:45:06+00:00 | unclear | long=0.841586 short=0.157937 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-23 02:30:00 close=0.004265
2026-07-23T03:00:05+00:00 | unclear | long=0.676678 short=0.322860 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-23 02:45:00 close=0.004260
2026-07-23T03:15:09+00:00 | unclear | long=0.634814 short=0.364732 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-23 03:00:00 close=0.004242
2026-07-23T03:30:07+00:00 | unclear | long=0.552630 short=0.446929 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-23 03:15:00 close=0.004237
2026-07-23T03:45:08+00:00 | unclear | long=0.666060 short=0.333484 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-23 03:30:00 close=0.004242
2026-07-23T04:00:08+00:00 | unclear | long=0.704965 short=0.294574 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-23 03:45:00 close=0.004239
2026-07-23T04:15:06+00:00 | unclear | long=0.353782 short=0.645849 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-23 04:00:00 close=0.004246
2026-07-23T04:30:09+00:00 | unclear | long=0.311352 short=0.688294 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-23 04:15:00 close=0.004246
2026-07-23T04:45:06+00:00 | unclear | long=0.162027 short=0.837717 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-23 04:30:00 close=0.004233
2026-07-23T05:00:07+00:00 | unclear | long=0.148843 short=0.850912 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-23 04:45:00 close=0.004225
2026-07-23T05:15:08+00:00 | unclear | long=0.309586 short=0.690058 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-23 05:00:00 close=0.004221
2026-07-23T05:30:07+00:00 | unclear | long=0.211758 short=0.787949 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-23 05:15:00 close=0.004236
2026-07-23T05:45:07+00:00 | unclear | long=0.283587 short=0.716078 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-23 05:30:00 close=0.004239
2026-07-23T06:00:09+00:00 | unclear | long=0.405706 short=0.593901 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-23 05:45:00 close=0.004232
2026-07-23T06:15:05+00:00 | unclear | long=0.367533 short=0.632088 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-23 06:00:00 close=0.004234
2026-07-23T06:30:06+00:00 | unclear | long=0.218592 short=0.781107 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-23 06:15:00 close=0.004237
2026-07-23T06:45:07+00:00 | unclear | long=0.193739 short=0.805975 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-23 06:30:00 close=0.004240
2026-07-23T07:00:08+00:00 | unclear | long=0.298313 short=0.701339 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-23 06:45:00 close=0.004248
2026-07-23T07:15:11+00:00 | unclear | long=0.496798 short=0.502776 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-23 07:00:00 close=0.004225
2026-07-23T07:30:07+00:00 | unclear | long=0.334281 short=0.665355 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-23 07:15:00 close=0.004227
2026-07-23T07:45:08+00:00 | unclear | long=0.152649 short=0.847098 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-23 07:30:00 close=0.004222
2026-07-23T08:00:08+00:00 | unclear | long=0.359954 short=0.639668 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-23 07:45:00 close=0.004223
2026-07-23T08:15:07+00:00 | unclear | long=0.524281 short=0.475281 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-23 08:00:00 close=0.004239
2026-07-23T08:30:07+00:00 | unclear | long=0.440351 short=0.559245 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-23 08:15:00 close=0.004244
2026-07-23T08:46:11+00:00 | unclear | long=0.532406 short=0.467161 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-23 08:30:00 close=0.004240
2026-07-23T09:00:08+00:00 | unclear | long=0.392374 short=0.607238 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-23 08:45:00 close=0.004240
2026-07-23T09:15:14+00:00 | unclear | long=0.313666 short=0.685984 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-23 09:00:00 close=0.004242
2026-07-23T09:30:09+00:00 | unclear | long=0.237284 short=0.762407 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-23 09:15:00 close=0.004237
2026-07-23T09:45:11+00:00 | unclear | long=0.202536 short=0.797178 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-23 09:30:00 close=0.004235
2026-07-23T10:00:10+00:00 | unclear | long=0.425606 short=0.573994 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-23 09:45:00 close=0.004229
2026-07-23T10:15:13+00:00 | unclear | long=0.409972 short=0.589629 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-23 10:00:00 close=0.004231
