2026-07-31T00:15:06+00:00 | unclear | long=0.869194 short=0.130331 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-31 00:00:00 close=0.004699
2026-07-31T00:30:06+00:00 | unclear | long=0.762069 short=0.237454 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-31 00:15:00 close=0.004704
2026-07-31T00:45:06+00:00 | unclear | long=0.883457 short=0.116062 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-31 00:30:00 close=0.004757
2026-07-31T01:00:05+00:00 | unclear | long=0.482483 short=0.517103 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-31 00:45:00 close=0.004815
2026-07-31T01:15:07+00:00 | unclear | long=0.420339 short=0.579266 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-31 01:00:00 close=0.004800
2026-07-31T01:30:07+00:00 | unclear | long=0.366738 short=0.632888 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-31 01:15:00 close=0.004783
2026-07-31T01:45:07+00:00 | unclear | long=0.172617 short=0.827122 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-31 01:30:00 close=0.004779
2026-07-31T02:00:05+00:00 | unclear | long=0.121546 short=0.878229 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-31 01:45:00 close=0.004759
2026-07-31T02:15:06+00:00 | unclear | long=0.215586 short=0.784125 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-31 02:00:00 close=0.004751
2026-07-31T02:30:06+00:00 | unclear | long=0.342190 short=0.657450 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-31 02:15:00 close=0.004735
2026-07-31T02:45:06+00:00 | unclear | long=0.689358 short=0.310182 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-31 02:30:00 close=0.004706
2026-07-31T03:00:10+00:00 | long    | long=0.918786 short=0.080752 | tp=0.005307 sl=0.004522 | 1000SHIBUSDT m15 | bar=2026-07-31 02:45:00 close=0.004707
2026-07-31T03:15:07+00:00 | long    | long=0.932074 short=0.067466 | tp=0.005313 sl=0.004527 | 1000SHIBUSDT m15 | bar=2026-07-31 03:00:00 close=0.004712
2026-07-31T03:30:06+00:00 | unclear | long=0.588618 short=0.410945 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-31 03:15:00 close=0.004742
2026-07-31T03:45:08+00:00 | unclear | long=0.505139 short=0.494443 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-31 03:30:00 close=0.004740
2026-07-31T04:00:08+00:00 | unclear | long=0.313909 short=0.685746 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-31 03:45:00 close=0.004733
2026-07-31T04:15:07+00:00 | unclear | long=0.469979 short=0.529608 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-31 04:00:00 close=0.004717
2026-07-31T04:30:10+00:00 | unclear | long=0.439286 short=0.560314 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-31 04:15:00 close=0.004696
2026-07-31T04:45:06+00:00 | unclear | long=0.282535 short=0.717131 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-31 04:30:00 close=0.004699
2026-07-31T05:00:05+00:00 | unclear | long=0.239993 short=0.759699 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-31 04:45:00 close=0.004693
2026-07-31T05:15:09+00:00 | unclear | long=0.232340 short=0.767353 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-31 05:00:00 close=0.004708
2026-07-31T05:30:06+00:00 | unclear | long=0.268309 short=0.731363 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-31 05:15:00 close=0.004685
2026-07-31T05:45:08+00:00 | unclear | long=0.231051 short=0.768643 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-31 05:30:00 close=0.004680
2026-07-31T06:00:06+00:00 | unclear | long=0.225571 short=0.774126 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-31 05:45:00 close=0.004710
2026-07-31T06:15:04+00:00 | unclear | long=0.193417 short=0.806301 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-31 06:00:00 close=0.004698
2026-07-31T06:30:07+00:00 | unclear | long=0.210385 short=0.789317 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-31 06:15:00 close=0.004705
2026-07-31T06:45:06+00:00 | unclear | long=0.196334 short=0.803381 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-31 06:30:00 close=0.004696
2026-07-31T07:00:06+00:00 | unclear | long=0.332575 short=0.667055 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-31 06:45:00 close=0.004708
2026-07-31T07:15:07+00:00 | unclear | long=0.300845 short=0.698803 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-31 07:00:00 close=0.004674
2026-07-31T07:30:06+00:00 | unclear | long=0.342992 short=0.656635 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-31 07:15:00 close=0.004675
2026-07-31T07:45:07+00:00 | unclear | long=0.238517 short=0.761171 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-31 07:30:00 close=0.004687
2026-07-31T08:00:09+00:00 | unclear | long=0.142515 short=0.857236 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-31 07:45:00 close=0.004718
2026-07-31T08:15:04+00:00 | unclear | long=0.262155 short=0.737520 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-31 08:00:00 close=0.004706
2026-07-31T08:30:07+00:00 | unclear | long=0.272266 short=0.727405 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-31 08:15:00 close=0.004702
2026-07-31T08:45:08+00:00 | unclear | long=0.626938 short=0.372603 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-31 08:30:00 close=0.004647
2026-07-31T09:00:09+00:00 | unclear | long=0.701832 short=0.297707 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-31 08:45:00 close=0.004643
2026-07-31T09:15:06+00:00 | unclear | long=0.604600 short=0.394954 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-31 09:00:00 close=0.004636
