2026-03-18T00:15:07+00:00 | unclear | long=0.663996 short=0.335542 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-18 00:00:00 close=0.006048
2026-03-18T00:30:04+00:00 | unclear | long=0.706993 short=0.292539 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-18 00:15:00 close=0.006034
2026-03-18T00:45:05+00:00 | unclear | long=0.811175 short=0.188353 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-18 00:30:00 close=0.006032
2026-03-18T01:00:04+00:00 | unclear | long=0.760502 short=0.239028 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-18 00:45:00 close=0.006048
2026-03-18T01:15:06+00:00 | unclear | long=0.600852 short=0.398699 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-18 01:00:00 close=0.006066
2026-03-18T01:30:06+00:00 | unclear | long=0.694381 short=0.305150 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-18 01:15:00 close=0.006074
2026-03-18T01:45:05+00:00 | unclear | long=0.685650 short=0.313883 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-18 01:30:00 close=0.006091
2026-03-18T02:00:08+00:00 | unclear | long=0.526421 short=0.473148 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-18 01:45:00 close=0.006085
2026-03-18T02:15:05+00:00 | unclear | long=0.202310 short=0.797405 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-18 02:00:00 close=0.006141
2026-03-18T02:30:07+00:00 | unclear | long=0.304252 short=0.695399 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-18 02:15:00 close=0.006139
2026-03-18T02:45:06+00:00 | unclear | long=0.204453 short=0.795258 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-18 02:30:00 close=0.006140
2026-03-18T03:00:07+00:00 | unclear | long=0.415437 short=0.584167 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-18 02:45:00 close=0.006141
2026-03-18T03:15:06+00:00 | unclear | long=0.173750 short=0.825980 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-18 03:00:00 close=0.006153
2026-03-18T03:30:05+00:00 | unclear | long=0.143464 short=0.856292 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-18 03:15:00 close=0.006213
2026-03-18T03:45:06+00:00 | unclear | long=0.140524 short=0.859230 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-18 03:30:00 close=0.006156
2026-03-18T04:05:04+00:00 | unclear | long=0.174763 short=0.824968 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-18 03:45:00 close=0.006169
2026-03-18T04:15:04+00:00 | unclear | long=0.305693 short=0.693962 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-18 04:00:00 close=0.006135
2026-03-18T04:30:06+00:00 | unclear | long=0.230815 short=0.768888 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-18 04:15:00 close=0.006111
2026-03-18T04:45:09+00:00 | unclear | long=0.533728 short=0.465834 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-18 04:30:00 close=0.006101
2026-03-18T05:00:06+00:00 | unclear | long=0.486173 short=0.513410 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-18 04:45:00 close=0.006110
2026-03-18T05:15:05+00:00 | unclear | long=0.476751 short=0.522832 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-18 05:00:00 close=0.006148
2026-03-18T05:30:04+00:00 | unclear | long=0.252285 short=0.747403 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-18 05:15:00 close=0.006124
2026-03-18T05:50:05+00:00 | unclear | long=0.203770 short=0.795947 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-18 05:30:00 close=0.006116
2026-03-18T06:00:06+00:00 | unclear | long=0.228666 short=0.771031 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-18 05:45:00 close=0.006089
2026-03-18T06:15:07+00:00 | unclear | long=0.222501 short=0.777201 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-18 06:00:00 close=0.006098
2026-03-18T06:30:04+00:00 | unclear | long=0.186792 short=0.812928 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-18 06:15:00 close=0.006101
2026-03-18T06:45:04+00:00 | unclear | long=0.127570 short=0.872194 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-18 06:30:00 close=0.006082
2026-03-18T07:00:03+00:00 | unclear | long=0.156572 short=0.843167 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-18 06:45:00 close=0.006058
2026-03-18T07:15:05+00:00 | unclear | long=0.265851 short=0.733826 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-18 07:00:00 close=0.006054
